id,sum,network,files,remote,information,permissions
CVE-2011-3374,2.25,0.50,0.28,1.00,0.30,0.17
CVE-2011-4116,2.44,0.50,0.40,1.00,0.30,0.24
CVE-2013-4235,1.92,0.08,0.40,0.90,0.30,0.24
CVE-2016-1000027,3.75,1.00,0.40,1.00,0.75,0.60
CVE-2016-20012,2.28,0.50,0.16,1.00,0.52,0.10
CVE-2017-14159,1.76,0.16,0.16,0.90,0.30,0.24
CVE-2017-17740,2.70,1.00,0.16,1.00,0.30,0.24
CVE-2018-1000052,2.70,1.00,0.16,1.00,0.30,0.24
CVE-2019-19882,2.81,0.16,0.40,0.90,0.75,0.60
CVE-2019-20838,2.70,1.00,0.16,1.00,0.30,0.24
CVE-2019-8457,3.75,1.00,0.40,1.00,0.75,0.60
CVE-2020-13529,2.50,0.80,0.16,1.00,0.30,0.24
CVE-2020-14145,2.51,0.50,0.16,1.00,0.75,0.10
CVE-2020-15719,2.37,0.50,0.28,0.90,0.52,0.17
CVE-2020-15778,3.05,0.40,0.40,0.90,0.75,0.60
CVE-2020-16156,3.05,0.40,0.40,0.90,0.75,0.60
CVE-2020-36518,2.70,1.00,0.16,1.00,0.30,0.24
CVE-2020-9493,3.75,1.00,0.40,1.00,0.75,0.60
CVE-2021-22898,2.18,0.50,0.16,0.90,0.52,0.10
CVE-2021-22922,2.34,0.50,0.40,0.90,0.30,0.24
CVE-2021-22923,2.41,0.50,0.16,0.90,0.75,0.10
CVE-2021-22924,2.28,0.50,0.16,1.00,0.52,0.10
CVE-2021-22945,3.15,1.00,0.16,1.00,0.75,0.24
CVE-2021-22946,2.51,0.50,0.16,1.00,0.75,0.10
CVE-2021-22947,2.44,0.50,0.40,1.00,0.30,0.24
CVE-2021-33560,2.51,0.50,0.16,1.00,0.75,0.10
CVE-2021-36084,1.83,0.30,0.16,0.90,0.30,0.17
CVE-2021-36085,1.65,0.12,0.16,0.90,0.30,0.17
CVE-2021-36086,1.65,0.12,0.16,0.90,0.30,0.17
CVE-2021-36087,1.65,0.12,0.16,0.90,0.30,0.17
CVE-2021-36368,2.28,0.50,0.16,1.00,0.52,0.10
CVE-2021-36690,2.70,1.00,0.16,1.00,0.30,0.24
CVE-2021-39537,3.65,1.00,0.40,0.90,0.75,0.60
CVE-2021-3999,3.15,0.40,0.40,1.00,0.75,0.60
CVE-2021-41617,2.81,0.16,0.40,0.90,0.75,0.60
CVE-2021-4209,2.00,0.40,0.16,0.90,0.30,0.24
CVE-2021-4214,2.00,0.40,0.16,0.90,0.30,0.24
CVE-2021-4217,2.00,0.40,0.16,0.90,0.30,0.24
CVE-2021-45346,2.11,0.20,0.16,0.90,0.75,0.10
CVE-2022-0529,2.00,0.40,0.16,0.90,0.30,0.24
CVE-2022-0530,2.00,0.40,0.16,0.90,0.30,0.24
CVE-2022-0563,1.99,0.08,0.16,0.90,0.75,0.10
CVE-2022-1304,3.05,0.40,0.40,0.90,0.75,0.60
CVE-2022-1586,3.15,1.00,0.16,1.00,0.75,0.24
CVE-2022-1587,3.15,1.00,0.16,1.00,0.75,0.24
CVE-2022-2047,1.65,0.10,0.28,0.80,0.30,0.17
CVE-2022-2048,2.70,1.00,0.16,1.00,0.30,0.24
CVE-2022-2068,3.75,1.00,0.40,1.00,0.75,0.60
CVE-2022-2097,2.51,0.50,0.16,1.00,0.75,0.10
CVE-2022-22576,2.49,0.20,0.40,0.90,0.75,0.24
CVE-2022-22970,2.00,0.40,0.16,0.90,0.30,0.24
CVE-2022-22971,2.00,0.40,0.16,0.90,0.30,0.24
CVE-2022-22976,2.28,0.50,0.16,1.00,0.52,0.10
CVE-2022-22978,3.75,1.00,0.40,1.00,0.75,0.60
CVE-2022-23307,3.05,0.40,0.40,0.90,0.75,0.60
CVE-2022-24765,2.81,0.16,0.40,0.90,0.75,0.60
CVE-2022-24975,2.51,0.50,0.16,1.00,0.75,0.10
CVE-2022-27774,2.02,0.20,0.16,0.81,0.75,0.10
CVE-2022-27775,2.51,0.50,0.16,1.00,0.75,0.10
CVE-2022-27776,2.41,0.50,0.16,0.90,0.75,0.10
CVE-2022-27781,2.70,1.00,0.16,1.00,0.30,0.24
CVE-2022-27782,2.44,0.50,0.40,1.00,0.30,0.24
CVE-2022-29187,2.81,0.16,0.40,0.90,0.75,0.60
CVE-2022-29458,2.45,0.40,0.16,0.90,0.75,0.24
CVE-2022-31782,3.05,0.40,0.40,0.90,0.75,0.60
CVE-2022-32205,2.28,0.75,0.16,0.90,0.30,0.17
CVE-2022-32206,2.60,1.00,0.16,0.90,0.30,0.24
CVE-2022-32207,3.75,1.00,0.40,1.00,0.75,0.60
CVE-2022-32208,2.51,0.50,0.16,1.00,0.75,0.10
CVE-2022-34176,1.98,0.20,0.28,0.81,0.52,0.17
